irr-B3-7	7	2	4	3	False	(1,0,0)
irr-B3-8	8	2	-2	0	False	(0,0,1)
irr-B3-21	21	10	-4	9	False	(0,1,0)
irr-B3-27	27	18	60	57	False	(2,0,0)
irr-B3-35	35	20	-32	12	False	(0,0,2)
irr-B3-48	48	28	20	48	False	(1,0,1)
irr-B3-77	77	88	440	462	False	(3,0,0)
irr-B3-105	105	90	84	231	False	(1,1,0)
irr-B3-112a	112	92	-92	144	False	(0,1,1)
irr-B3-112b	112	108	-252	144	False	(0,0,3)
irr-B3-168a	168	170	406	624	False	(2,0,1)
irr-B3-168b	168	192	-144	492	False	(0,2,0)
irr-B3-182	182	312	2184	2418	False	(4,0,0)
irr-B3-189	189	180	-48	408	False	(1,0,2)
irr-B3-294	294	420	-1344	924	False	(0,0,4)
irr-B3-330	330	440	1144	2046	False	(2,1,0)
irr-B3-378a	378	468	-816	1104	False	(0,1,2)
irr-B3-378b	378	900	8400	9600	False	(5,0,0)
irr-B3-448	448	688	2960	4128	False	(3,0,1)
irr-B3-512	512	640	128	2112	False	(1,1,1)
irr-B3-560	560	780	-972	2352	False	(1,0,3)
irr-B3-616	616	880	1232	3828	False	(2,0,2)
irr-B3-672	672	1320	-5544	4224	False	(0,0,5)
irr-B3-693	693	1122	396	4917	False	(1,2,0)
irr-B3-714	714	2244	26928	31416	False	(6,0,0)
irr-B3-720	720	1140	-1524	3984	False	(0,2,1)
irr-B3-819	819	1560	7176	11154	False	(3,1,0)
irr-B3-825	825	1650	-1980	7755	False	(0,3,0)
irr-B3-1008a	1008	1740	-4572	5712	False	(0,1,3)
irr-B3-1008b	1008	2172	14148	18960	False	(4,0,1)
