vtx-D08-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D8-120)
vtx-D08-8-n4-n2	Δ = 8	bi.bi = -4	b0.bi = -2	8 x (irr-D8-16)
vtx-D08-248-12-10	Δ = 248	bi.bi = 12	b0.bi = 10	2 x (irr-D8-120) + 1 x (irr-D8-128)
vtx-D08-256-8-8	Δ = 256	bi.bi = 8	b0.bi = 8	8 x (irr-D8-16) + 1 x (irr-D8-120) + 1 x (irr-D8-128)
vtx-D08-264-4-6	Δ = 264	bi.bi = 4	b0.bi = 6	16 x (irr-D8-16) + 1 x (irr-D8-128)
vtx-D08-271-16-12	Δ = 271	bi.bi = 16	b0.bi = 12	2 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-496-24-20	Δ = 496	bi.bi = 24	b0.bi = 20	3 x (irr-D8-120) + 2 x (irr-D8-128)
vtx-D08-504-20-18	Δ = 504	bi.bi = 20	b0.bi = 18	8 x (irr-D8-16) + 2 x (irr-D8-120) + 2 x (irr-D8-128)
vtx-D08-512-16-16	Δ = 512	bi.bi = 16	b0.bi = 16	16 x (irr-D8-16) + 1 x (irr-D8-120) + 2 x (irr-D8-128)
vtx-D08-519-28-22	Δ = 519	bi.bi = 28	b0.bi = 22	1 x (irr-D8-120) + 3 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-520-12-14	Δ = 520	bi.bi = 12	b0.bi = 14	24 x (irr-D8-16) + 2 x (irr-D8-128)
vtx-D08-527-24-20	Δ = 527	bi.bi = 24	b0.bi = 20	8 x (irr-D8-16) + 3 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-744-36-30	Δ = 744	bi.bi = 36	b0.bi = 30	4 x (irr-D8-120) + 3 x (irr-D8-128)
vtx-D08-752-32-28	Δ = 752	bi.bi = 32	b0.bi = 28	8 x (irr-D8-16) + 3 x (irr-D8-120) + 3 x (irr-D8-128)
vtx-D08-760-28-26	Δ = 760	bi.bi = 28	b0.bi = 26	16 x (irr-D8-16) + 2 x (irr-D8-120) + 3 x (irr-D8-128)
vtx-D08-767-40-32	Δ = 767	bi.bi = 40	b0.bi = 32	2 x (irr-D8-120) + 4 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-768-24-24	Δ = 768	bi.bi = 24	b0.bi = 24	24 x (irr-D8-16) + 1 x (irr-D8-120) + 3 x (irr-D8-128)
vtx-D08-775-36-30	Δ = 775	bi.bi = 36	b0.bi = 30	8 x (irr-D8-16) + 1 x (irr-D8-120) + 4 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-776-20-22	Δ = 776	bi.bi = 20	b0.bi = 22	32 x (irr-D8-16) + 3 x (irr-D8-128)
vtx-D08-776-60-38	Δ = 776	bi.bi = 60	b0.bi = 38	5 x (irr-D8-16) + 2 x (irr-D8-128) + 1 x (irr-D8-560)
vtx-D08-783-32-28	Δ = 783	bi.bi = 32	b0.bi = 28	16 x (irr-D8-16) + 4 x (irr-D8-128) + 1 x (irr-D8-135)
vtx-D08-790-44-34	Δ = 790	bi.bi = 44	b0.bi = 34	5 x (irr-D8-128) + 2 x (irr-D8-135)
vtx-D08-992-48-40	Δ = 992	bi.bi = 48	b0.bi = 40	5 x (irr-D8-120) + 4 x (irr-D8-128)
vtx-D08-1000-44-38	Δ = 1000	bi.bi = 44	b0.bi = 38	8 x (irr-D8-16) + 4 x (irr-D8-120) + 4 x (irr-D8-128)
